slug,nom_opentraining,candidat_fedb,confiance
arnoldpress,"Arnoldpress","Kettlebell Arnold Press",0.67
back-extensions-on-swiss-ball,"Back extensions on swiss ball","Hyperextensions (Back Extensions)",0.68
barbell-front-raises,"Barbell front raises","Barbell Seated Calf Raise",0.65
dips,"Dips","Ring Dips",0.60
benchpress,"Benchpress","Machine Bench Press",0.75
bent-arm-pullover,"Bent arm pullover","Bent-Arm Barbell Pullover",0.81
bicep-hammer-curl,"Bicep hammer curl","Hammer Curls",0.75
curl,"Curl","Drag Curl",0.60
curl-reverse,"Curl (reverse)","Reverse Cable Curl",0.75
bridge,"Bridge","Side Bridge",0.77
crunch-legs-on-swiss-ball,"Crunch (legs on swiss ball)","Crunch - Legs On Exercise Ball",0.70
dumbell-decline-flies,"Dumbell decline flies","Decline Dumbbell Flyes",0.78
dumbell-flies,"Dumbell flies","Dumbbell Flyes",0.78
dumbbell-front-raise-dumbbell-one-arm,"Dumbbell front raise (dumbbell, one arm)","Front Dumbbell Raise",0.75
swiss-ball-pull-in,"Swiss Ball Pull-In","Exercise Ball Pull-In",0.62
hammer-curls-with-rope,"Hammer curls with rope","Hammer Curls",0.71
concentration-triceps-extension-kneeling,"Concentration triceps extension (kneeling)","Kneeling Cable Triceps Extension",0.77
legraises,"Legraises","Rear Leg Raises",0.80
lying-bicep-cabel-curl,"Lying bicep cabel curl","Standing Biceps Cable Curl",0.60
triceps-extension-across-face-lying,"Triceps extension across face (lying)","Cable Lying Triceps Extension",0.75
curl-on-ball,"Curl (on ball)","Ball Leg Curl",0.67
bench-press-narrow-grip,"Bench press (narrow grip)","Wide-Grip Barbell Bench Press",0.62
bench-press-one-arm,"Bench press (one arm)","One Arm Dumbbell Bench Press",0.76
biceps-concentration-curl-on-ball-one-arm,"Biceps concentration curl (on ball, one arm)","Concentration Curls",0.65
preacher-curl-one-arm-biased,"Preacher curl(one arm, biased)","One Arm Dumbbell Preacher Curl",0.70
shoulder-press-one-arm,"Shoulder press (one arm)","Dumbbell One-Arm Shoulder Press",0.77
row-one-arm-upright,"Row (one arm, upright)","Dumbbell One-Arm Upright Row",0.74
preacher-curl-barbell,"Preacher curl (barbell)","Reverse Barbell Preacher Curls",0.81
rear-deltoid-row,"Rear deltoid row","Barbell Rear Delt Row",0.64
sideplank,"Sideplank","Plank",0.67
curl-standing,"Curl (standing)","Standing Leg Curl",0.80
t-bar-row,"T-Bar row","Lying T-Bar Row",0.71
triceps-kickback,"Triceps kickback","Tricep Dumbbell Kickback",0.65
abrollout,"Abrollout","Barbell Ab Rollout",0.73
alternatebicepcurl,"Alternatebicepcurl","Dumbbell Alternate Bicep Curl",0.80
alternateinclinecurl,"Alternateinclinecurl","Alternate Incline Dumbbell Curl",0.76
backflyeswithresistancebands,"Backflyeswithresistancebands","Back Flyes - With Bands",0.75
benchpress,"Benchpress","Machine Bench Press",0.75
bentovercablelateralraises,"Bentovercablelateralraises","Cable Seated Lateral Raise",0.73
bentoverreardeltrowwithheadonbench,"Bentoverreardeltrowwithheadonbench","Bent Over Dumbbell Rear Delt Raise With Head On Bench",0.78
bicepcurl,"Bicepcurl","Machine Bicep Curl",0.70
butterflymachine,"Butterflymachine","Butterfly",0.70
cablefrontraisespercent,"Cablefrontraisespercent","Front Cable Raise",0.74
calfraises,"Calfraises","Donkey Calf Raises",0.75
calvespressonlegmachine,"Calvespressonlegmachine","Calf Press On The Leg Press Machine",0.71
closegripstandingbicepcurls,"Closegripstandingbicepcurls","Close-Grip Standing Barbell Curl",0.75
deadlifts,"Deadlifts","Car Deadlift",0.78
declinechestpress,"Declinechestpress","Incline Cable Chest Press",0.81
dumbbellfrontraisespercent,"Dumbbellfrontraisespercent","Front Dumbbell Raise",0.73
dumbbelluprightrow,"Dumbbelluprightrow","Standing Dumbbell Upright Row",0.81
flexorinclinecurls,"Flexorinclinecurls","Flexor Incline Dumbbell Curls",0.75
frontandbackneckisometric,"Frontandbackneckisometric","Isometric Neck Exercise - Front And Back",0.79
frontsquattobenchx,"Frontsquattobenchx","Front Barbell Squat To A Bench",0.70
frontsquatx,"Frontsquatx","Front Squat (Clean Grip)",0.64
hipadductionx,"Hipadductionx","Band Hip Adductions",0.79
inclineflys,"Inclineflys","Incline Cable Flye",0.70
inclineflyswithatwist,"Inclineflyswithatwist","Incline Dumbbell Flyes - With A Twist",0.71
inclinepress,"Inclinepress","Incline Cable Chest Press",0.64
lyingclosegripbicepscurls,"Lyingclosegripbicepscurls","Lying Close-Grip Bar Curl On High Pulley",0.62
lyinghighbenchbicepscurl,"Lyinghighbenchbicepscurl","Lying High Bench Barbell Curl",0.71
lyinginclinecurl,"Lyinginclinecurl","Lying Cable Curl",0.62
lyingsquatx,"Lyingsquatx","Lying Machine Squat",0.64
lyingsupinebicepscurl,"Lyingsupinebicepscurl","Lying Supine Dumbbell Curl",0.60
